N,b1,N_ratio,lambdax,beta1,omega1,omega2,bias.reg.est,bias.fspa.est,bias.croon2.est,bias.sem2.est,bias.2spa.est,bias.2spae.est,bias.2spabart.est,bias.2spabarte.est,bias.2spauw.est,rmse.reg.est,rmse.fspa.est,rmse.croon2.est,rmse.sem2.est,rmse.2spa.est,rmse.2spae.est,rmse.2spabart.est,rmse.2spabarte.est,rmse.2spauw.est,rsb.reg.se,rsb.fspa.se,rsb.croon2.se,rsb.sem2.se,rsb.2spa.se,rsb.2spae.se,rsb.2spabart.se,rsb.2spabarte.se,rsb.2spauw.se,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,REPLICATIONS,SIM_TIME,COMPLETED,SEED,ERRORS,WARNINGS
80,0.5,1,1,0.5573374202401988,0.7060682812693717,0.773079988308397,-0.06338091905357711,-0.06361897129850565,-0.010895313104556657,0.0016036525439122764,-0.007295648777793228,-0.003596128828347297,8.948426075783035e-4,0.008853823533895813,0.0026097154186060416,0.10125755518879156,0.10209648351091247,0.08716748964692472,0.08728418261338525,0.08695913496480387,0.0873367302620277,0.08926915072823732,0.09117017807916648,0.08674203166863757,-0.02541616163361955,-0.032398205803108794,-0.0652342123906848,-0.0317895674943231,-0.009614017442783989,-0.00978723617364845,-0.08792082935931247,-0.08955084166159127,0.0037168414575839723,0.8656,0.8635999999999999,0.9328,0.9456,0.9436,0.9472,0.9252,0.9248000000000001,0.9552,2500,638.3080000000009,Wed Jul 27 03:27:17 2022,198300,0,0
400,0.5,1,1,0.5573374202401988,0.7060682812693717,0.773079988308397,-0.065032767748445,-0.06252953205852056,-0.004835373159919243,-0.0016659251201449339,-0.0028578096352810415,-0.0021321433553913175,0.003840818706951892,0.005374865070060826,0.0018338250213179395,0.07350787543773034,0.07134547354442428,0.037746114739136916,0.0375675996881842,0.037570226808956345,0.03757257970961335,0.038605372505807735,0.03890633259673966,0.0376417958067259,0.008688816906865507,0.007047459305762745,-0.0331276672146844,0.007681896227445435,0.031505190475307775,0.03147715079083576,-0.04743873764518223,-0.0477391429294497,0.0402997030303302,0.55,0.5836,0.9384,0.9512,0.9556,0.9564,0.9388,0.9376,0.96,2500,940.1620000000003,Wed Jul 27 03:42:57 2022,198300,0,0
800,0.5,1,1,0.5573374202401988,0.7060682812693717,0.773079988308397,-0.06550037502059132,-0.06274006524765165,-0.004334781240136482,-0.0022639149129716784,-0.0026247672037392725,-0.0022634590289474844,0.0036634425594678135,0.00442474152532632,0.0015161190407874778,0.06995385674974665,0.06736388314940069,0.02704488655725571,0.026846723524019626,0.026872773331332565,0.02685779767244061,0.02765223589320224,0.02780491197915628,0.02704153575743288,-0.004914063202432801,-0.0031911589122453994,-0.04174563017238455,-0.0010181238200141565,0.0218718810819848,0.021858330066444838,-0.05648430512245357,-0.05662925660727322,0.024705937548007303,0.25439999999999996,0.28600000000000003,0.938,0.9488,0.9568,0.9556,0.938,0.9376,0.9536,2500,1327.0819999999985,Wed Jul 27 04:05:04 2022,198300,0,0
40,0,0.6,1,0,0.7060682812693717,0.773079988308397,-0.003358927969748155,-0.004685895467446231,-0.004562863512066215,-0.005801672548741827,-0.005168406091441404,-0.0051011452515356635,-0.005320467375033021,-0.005452929089247089,-0.004420631443920976,0.11455627002535589,0.11631961556901814,0.12820391513131643,0.13711848071977745,0.1300804735992978,0.13218483621098012,0.1331754532269391,0.1376557325748276,0.13266191170744396,-0.02273947063906349,-0.03022706866996652,-0.011328818913493174,-0.0729864623607326,-0.03246885929809802,-0.03265253500235106,-0.037966280890703724,-0.03841341700136551,-0.026814146142593864,0.9452,0.938,0.9452,0.9208000000000001,0.9384,0.9384,0.9384,0.9384,0.9444,2500,634.4020000000019,Wed Jul 27 04:15:38 2022,198300,0,0
80,0,0.6,1,0,0.7060682812693717,0.773079988308397,0.0053961159235182245,0.005904876727090306,0.006456309260710079,0.006956583278924292,0.006594212146635005,0.006643819114140025,0.006702715747069389,0.006804055656584384,0.006293103526728274,0.07969840496831558,0.07993644608401514,0.08953167513538778,0.09169064429998992,0.09001801550069542,0.09069257690207222,0.09173726526177861,0.0931770243749232,0.09186779354123716,-0.0013197885892192443,2.8413121302279024e-4,0.0068989864925157905,-0.016799572365994792,-7.710279792968185e-4,-8.190544581162515e-4,-0.003943528894091092,-0.004200148398711193,-0.0035342571515058177,0.9488,0.948,0.9512,0.9432,0.9492,0.9488,0.9488,0.9492,0.9508,2500,691.9799999999996,Wed Jul 27 04:27:10 2022,198300,0,0
400,0,0.6,1,0,0.7060682812693717,0.773079988308397,0.0013694087413796965,0.0015389787212333798,0.0016979102524045178,0.0017248958898955155,0.0017426913675133416,0.0017452145321861317,0.001767496265167376,0.0017726066233943517,0.0015806375160100298,0.03509492929281109,0.034995498277843984,0.03949529050898976,0.039659118255909946,0.039624502101478186,0.03968048180480845,0.04013381684475989,0.040250525170044356,0.040323468046810536,0.018082027402219855,0.022529539091807015,0.02345021919293315,0.019200182321660316,0.02209396766600572,0.022095497470361384,0.021702461289739582,0.021715007687609728,0.018364449580606172,0.95,0.9496,0.95,0.9476,0.9492,0.9492,0.9484,0.9488,0.95,2500,1002.0540000000001,Wed Jul 27 04:43:52 2022,198300,0,0
800,0,0.6,1,0,0.7060682812693717,0.773079988308397,2.827224460052085e-4,3.2757328336414904e-4,3.4540426287475853e-4,3.7882117564575916e-4,3.7228758940177186e-4,3.72554836024086e-4,3.810835563920034e-4,3.8151357822937735e-4,3.1319920958935955e-4,0.025067291874288845,0.025042750823259328,0.02827601966589444,0.02836431457942629,0.028368642685314988,0.028388597883672557,0.02872195128434708,0.02876345012816133,0.028814175872329706,0.0074760106066421046,0.009483517871828434,0.010120950793017952,0.006998373031959727,0.009255489658040402,0.009255051400621564,0.008768611237796469,0.008776506404790822,0.007198414703887955,0.9516,0.9556,0.954,0.9552,0.956,0.956,0.9556,0.9556,0.9508,2500,1393.9399999999987,Wed Jul 27 05:07:06 2022,198300,0,0
40,0.5,0.6,1,0.544539656498955,0.7060682812693717,0.773079988308397,-0.07573892834301042,-0.08233448476594898,-0.03542692704281401,-0.009901455027926723,-0.030407579590230435,-0.02218169619171732,-0.019798278187678455,-0.0024354357750294253,-0.009068797360048331,0.13427549904343264,0.14142247290418528,0.1296998332959538,0.13114391560863398,0.13053911359672887,0.13124584805467135,0.13406383549226616,0.1384168656791933,0.12498774393443798,-0.027457512589891445,-0.053360514899554776,-0.07572569527114331,-0.07891275873849711,-0.048697752506850225,-0.05019732393698662,-0.12497155593567585,-0.13187143479924188,-0.011114841368783022,0.894,0.8792,0.9272,0.9272,0.9368,0.9364,0.9192,0.9156,0.9556,2500,634.9089999999997,Wed Jul 27 05:17:41 2022,198300,0,0
80,0.5,0.6,1,0.544539656498955,0.7060682812693717,0.773079988308397,-0.06549730637702081,-0.06599590304206147,-0.01111208612653922,0.0019079737898757563,-0.00723230017891105,-0.0031980556536942437,0.00195444116490959,0.010409060296486196,0.004003899199009154,0.10215766849852928,0.10305053284878907,0.08715581727511053,0.0876445789336177,0.08712664135632993,0.08761369339113456,0.0899580005484108,0.09223994199052837,0.08719370352827369,-0.021200773780894043,-0.025925467233979684,-0.056206670595100705,-0.030611109611823648,-0.006076403840465039,-0.006490762959908712,-0.0837491259132917,-0.08615640525619736,0.006466461227154093,0.8596,0.8664000000000001,0.9336,0.9412,0.9448,0.9464,0.9276,0.9244,0.9484,2500,661.7170000000006,Wed Jul 27 05:28:43 2022,198300,0,0
400,0.5,0.6,1,0.544539656498955,0.7060682812693717,0.773079988308397,-0.06790669427113448,-0.06583869444829185,-0.005410944626599596,-0.0020345254276379053,-0.0032245922814680534,-0.0024485499262043445,0.0036943889288856575,0.005306476147746029,0.0023073971845184943,0.07582537493018006,0.07403386504939224,0.03762401085541434,0.037313782587323416,0.03734991366039099,0.03735034178123569,0.03858641607872911,0.03890922592727463,0.03746107540631765,0.021068250670618318,0.018399796444640674,-0.018538428370538287,0.020240024835513612,0.04470580481993903,0.04460593669494256,-0.03695774293134621,-0.03741667388643325,0.053604272944005736,0.5107999999999999,0.5392,0.9404,0.9536,0.96,0.9612,0.944,0.9432,0.964,2500,968.0190000000002,Wed Jul 27 05:44:51 2022,198300,0,0
800,0.5,0.6,1,0.544539656498955,0.7060682812693717,0.773079988308397,-0.06840110226590358,-0.06606181127063959,-0.004980593060719921,-0.002721018340679996,-0.0030563442763019964,-0.002670277470208752,0.0035365457965518877,0.004338047506096768,0.0018078030027302225,0.07261470765367743,0.07045700293700957,0.027335791360956818,0.02706847791230094,0.027178080763394893,0.027158038237653313,0.02802245572941266,0.028181486209525014,0.027114955034513104,-5.990036758205542e-4,-0.004966619571957475,-0.038785661268167945,-0.002084761008552604,0.01831708614741377,0.018295001504931564,-0.05915264785709859,-0.059313160116742925,0.029724807403102314,0.21719999999999995,0.25039999999999996,0.9416,0.9528,0.9564,0.9568,0.9336,0.9328,0.9572,2500,1369.4850000000006,Wed Jul 27 06:07:40 2022,198300,0,0
